Subject,Cross validation,p_r,i_temp,P,alpha_c
WT1,0.495141545390842,0.39728361634517784,0.11102383956547802,8.375738560652614e-08,0.5000147461019491
WT2,0.4836147468112665,0.8520290685150411,1.9873856594899968,1.8364433662415172,0.05426876734308972
WT3,0.4966290830940735,0.733712296466226,0.14743715777505437,0.30323286011749917,0.8162702159191365
WT4,0.500525734858945,0.7507726947737687,1.9651889411541863,1.4066812019468942,0.4040687222702769
WT5,0.501221282025629,0.8567543347739639,0.17685320873619392,0.5682054101398099,0.900778142914565
WT6,0.4940011883879823,0.2952298825635996,2.37836402735266,1.2924227542442326,0.5279644669704783
