Subject,Cross validation,p_r,i_temp
WT1,0.49201285525841926,0.42068007381809314,2.4233824951615848
WT2,0.49935334616947,0.7492961578362545,1.6667038675172743
WT3,0.4982047276890115,0.30281563268156797,1.3538178934050247
WT4,0.49837771977668144,0.5102048657571051,2.5019441355482406
WT5,0.49955172026643785,0.7079242456497471,2.7195551148810377
WT6,0.48863031292058956,0.35904995929234973,3.462707579338128
