Subject,Cross validation,alpha,forget,lambda,Wmf,Wmb,P
WT1,0.498753813171301,0.033432401232913134,0.3875398374793646,0.857695115485389,4.244551917348207,1.8899102035526558,-0.2051791222134531
WT2,0.505655189305547,0.006920295640686525,0.06573048766617329,0.9453045069970469,8.1437787898918,0.6369077656830515,-0.20358237061618284
WT3,0.5137268171779723,0.0062936150157421045,0.03600252686222083,0.957550578777462,8.784467927875278,1.6713699867185352,0.0643980080937466
WT4,0.5236173545754276,0.007432569910251541,0.05853526450294011,0.9571385311483952,10.727047214695515,0.6235940136104698,0.15557857463316233
WT5,0.5285001089376824,0.006758909207061459,0.07515916092901809,0.9733486025927984,16.291852292896465,0.5828821789798305,0.03362644429677887
WT6,0.5221640399203202,0.6843995924961073,0.9501113424674026,0.19587997393610668,1.3740529454869375,0.784000950291093,0.7764846818116392
