Subject,Cross validation,alpha,tmp,P
WT1,0.49830671628482903,0.013241685361538469,1.9700558990717725,0.04692725300972388
WT2,0.49981383685942476,0.0036365005224185953,2.0223637713455838,-0.02897967589486684
WT3,0.5034940965023949,0.009868274064742999,2.2098223705063544,0.12861733436632358
WT4,0.5034364231506996,0.004590127357661622,2.1016073435897464,0.2522205487304255
WT5,0.5029326538299327,0.0006058371694885878,2.0316006589693347,0.26134020690600257
WT6,0.5180616919410603,0.2601494350991752,0.6012210074764407,1.3222574116573729
