Subject,Cross validation,alpha,forget,lambda,Wmf,Wmb,P,p_r
WT1,0.5527891637023583,0.0333268586957336,0.2292641473421323,0.9770991164926578,4.2977388433685215,7.855588770352075,0.6577469217391666,0.33142018285795083
WT2,0.5245727520813107,0.027946710376739015,0.062132920971023076,0.928803435120297,3.4778746766465964,3.5413937279157373,0.1986438179235966,0.26134107646379556
WT3,0.5304691471084687,0.021110266637693664,0.08173065493165821,0.947089912308477,5.15507544073053,3.9432408271953867,0.322859980557216,0.3405800202662197
WT4,0.5245253725769153,0.017211112994494515,0.07764594398098612,0.979715245074587,4.696027561259842,0.5672163362983027,0.3792869159677906,3.644811119585256e-10
WT5,0.5484490974782638,0.04522161049436324,0.12173029774596456,0.9566010985267968,4.156953398059756,3.7130926332512946,0.1704775706065311,0.28808301854514207
WT6,0.5720392825760983,0.056542424359866006,0.0750885984887858,0.8140664585611002,3.312845248077603,6.751106128048877,1.1451498664978266,0.34216744430839396
