Subject,Cross validation,alpha,tmp,P
WT1,0.5709201362600858,0.015910394816749718,7.933038225969932,0.20144055938098984
WT2,0.5586769220309251,0.009809332586715347,9.317804799902412,0.14573854133835126
WT3,0.5425815920861706,0.07488771221195756,2.3850450169869193,0.5620527548127662
WT4,0.5649005175183304,0.02840883029172081,5.305310892894752,0.2795051867748235
WT5,0.5515604352804069,0.01169847451962236,7.54468020593855,0.1946426258467328
WT6,0.5977677151997404,0.3743220820048557,1.4454000008636447,1.6612024983806606
