Subject,Cross validation,p_r,beta,P
WT1,0.4951693350946559,0.49278634893194306,1.6638281096215124e-06,0.051056959220977416
WT2,0.5004085542637646,0.4205225713644756,0.6150107121511774,0.5531069417281717
WT3,0.4998985199131975,0.48874324739799146,5.0889715694779625e-06,0.07642769709640396
WT4,0.5023028091854383,0.5832707094948185,5.948765752217255e-07,0.165804166314532
WT5,0.5049169968800643,0.6522622595425356,2.238624682293633e-07,0.14280032557632039
WT6,0.5019686883564555,0.5051337909695178,3.6322392116261426e-07,0.2733680955757415
