Subject,Cross validation,alpha,tmp,P
WT1,0.5381898566617267,0.1427886640507653,1.2190905978682642,1.0426063673814052
WT2,0.5151236972752236,0.28648132044742247,1.5180030626200922,0.4617474735552106
WT3,0.5132181110975529,0.21377629516579766,0.7144460004692911,1.2593098285260453
WT4,0.5149769824508141,0.04280695051538386,1.6016880785461276,0.4366104250708591
WT5,0.5315572356435692,0.25049914698913756,1.4398078656890076,0.5424857382139927
WT6,0.5557068892842709,0.11966353058563794,1.4448285077224148,1.1592402292330577
