Subject,Cross validation,p_r,i_temp,P
WT1,0.4926015106086263,0.42613538478200297,2.42680074100261,0.02191151086422226
WT2,0.49870877363727767,0.7564096889448094,1.820521024403267,0.07850157882889765
WT3,0.49276553989692284,0.7460840832622839,1.1940915355614392,0.34855736044184815
WT4,0.5025298656550558,0.6335318924356841,2.9145535828057945,0.6150158360271986
WT5,0.5038974376970511,0.7230002636413112,5.218485172219756,0.8339623794411086
WT6,0.5091325330888807,0.4167764671277341,2.709034806029923,0.7734914745675688
