Subject,Cross validation,alpha_r,alpha_n,forget,Wmb,P
WT1,0.5932283520024636,0.5102784246070959,0.46969830580582306,0.5246460188874613,4.134496705528288,0.5896224087196759
WT2,0.578103363267809,0.3212674758889994,0.10141929701280927,0.3196348127159323,3.8591280019522016,0.5949040096007882
WT3,0.5669565534988248,0.16953650951782695,0.024904821778673814,0.38788858503242873,4.640139425305004,0.7481604474491721
WT4,0.5950720768709882,0.12852467991656236,0.1994119623117696,0.2899448749844591,7.28693475557731,0.8465928976180703
WT5,0.5673627168574011,0.22969558968109904,0.3240789346480789,0.3942203715538245,4.23465992640244,0.9244174462069956
WT6,0.6323810804634155,0.2864775611611954,0.1412074285413999,0.2602730169806935,4.206643188529432,1.7802994326594834
