Subject,Cross validation,p_r,eps
WT1,0.5403569290802217,0.09714822506528553,0.15181930497206597
WT2,0.5320406492755292,0.05343888569081123,0.2516718478326619
WT3,0.52110817995128,0.001740932712100407,0.3377492319237067
WT4,0.5433409964806607,0.001821518664694155,0.27475549948528216
WT5,0.5243238967037578,0.05059104005691817,0.28199096672317336
WT6,0.5417948930893344,0.0016063169703101066,0.2830643538454624
