Subject,Cross validation,alpha_r,alpha_n,forget,Wmb,P
WT1,0.4968080628935157,0.06772181109888475,0.10785888572588231,0.6198041309141648,3.2715484463856757,-0.07338236567022746
WT2,0.49919302779842395,0.011051053836402924,0.0038613389474070337,0.05017169277862399,2.688025167479706,-0.08456507012120149
WT3,0.5073615459556795,0.047579907465052584,0.0003387553910968455,0.007259290717508082,2.442361992617054,0.13106886420186253
WT4,0.4942360318985185,0.006690595297179636,0.0008555172842015235,0.02372252152183052,5.331099988748685,0.4408528836249504
WT5,0.5024947739254568,0.009293830491594601,0.0006648396307729065,0.05330586794823944,6.8795173272831285,0.42203059346484506
WT6,0.5394897245099756,0.14928901947573692,0.0014611477806130146,0.010401278585426943,3.419369633919428,0.6857411678025389
