Subject,Cross validation,p_r,i_temp
WT1,0.534099715913913,0.22605283555214317,7.499570128494377
WT2,0.5297542082035556,0.0007165296962654555,2.335507525242021
WT3,0.518773569873207,0.16997362045374054,3.609025260407616
WT4,0.5060765817925748,0.11496699818667144,1.9329535950553898
WT5,0.520665417343844,0.09920059111247403,3.51582002832589
WT6,0.5390695229546579,0.2530625883229417,8.786972274486528
