Subject,Cross validation,p_r,eps
WT1,0.5097544707916143,0.09071514663462421,0.32704575980120854
WT2,0.5073482052682483,0.2833976858731897,0.30149921723723433
WT3,0.5042871416814412,0.21176670415912013,0.3155690198741927
WT4,0.5010240648700821,0.08195087862101613,0.4395234174519289
WT5,0.5078763724080453,0.0733912331782437,0.3348128778083746
WT6,0.5142474144481042,0.00950875103275306,0.35394975588736405
