Subject,Cross validation,alpha,forget,lambda,Wmb,P,alpha_c
WT1,0.5088322835893537,0.06950117757044594,0.6262058189075915,0.49997443231342265,2.550862686425256,1.6124304967385574,0.07953098541449344
WT2,0.5014899811385055,0.007207620864912889,0.043811334150342995,0.49831883319384995,2.6899334071804266,0.9089132194383913,0.19897959503103313
WT3,0.5080075672227539,0.006431406598368494,0.012515553292914872,0.4994880616722136,7.1589097438712805,0.5308923476114262,0.31379906597321094
WT4,0.5101673937619562,0.0048914935317626584,0.01650434170294779,0.5001540703034534,3.576747350919715,2.7788727794545105,0.19341749416451004
WT5,0.5320516399093467,0.007057351749585994,0.044964864037489116,0.5000683488424673,3.852109533153779,3.149590010043043,0.18993034027710454
WT6,0.5393301885703221,0.028904183160935126,0.0794459873591633,0.4997902404016733,2.3957621514545733,2.444495630674523,0.26892224359780037
