Subject,Cross validation,alpha,forget,lambda,Wmf,P
WT1,0.5462816157887059,0.11391375332461695,0.2816295626589649,0.8296606549005583,2.994014586007836,0.7695748834209676
WT2,0.5193425581170771,0.09863731279395715,0.0645969130918983,0.35719709421930923,2.6171893676689355,0.3764937328297406
WT3,0.5269013414522576,0.06127203535622583,0.10699725192413279,0.4451160067134441,4.2875618957039165,0.4259367654140658
WT4,0.5246946945775205,0.02977548130934682,0.0418167526902371,0.5760690294087165,4.714485499513937,0.3933774159905032
WT5,0.5469588978839356,0.09746651726496347,0.15199809174606627,0.6925959788115681,3.7664910783973875,0.2557452025512269
WT6,0.5666559821679282,0.14826295808884427,0.07814692007925939,0.7431967536906531,2.252723426800731,1.3178364712491895
