Subject,Cross validation,alpha,forget,lambda,Wmb,P
WT1,0.5476976138265801,0.14835636124720597,0.4500507167563068,0.5002605923353693,4.2445407216144275,0.8738350156319217
WT2,0.5230323869274806,0.04166152940804435,0.07604436208879539,0.5003532280978039,5.395993697070129,0.3754118453271405
WT3,0.5267994957767034,0.042182282907940905,0.08705098889655571,0.49997599490267397,4.8769431047026375,0.5490253418952872
WT4,0.5213784875550771,0.013727558131387152,0.009988820984472402,0.5000584144107454,5.279926716870461,0.5116528161145184
WT5,0.5386579928692039,0.05799516025285012,0.16962241832657443,0.4997784870516164,5.766116576979225,0.4869547389923044
WT6,0.564303817479779,0.09609027190380437,0.18517339216526563,0.5001728055541192,3.7336855349398994,1.3663966103739753
