Subject,Cross validation,alpha,forget,Wmb,P
WT1,0.5927277567834887,0.49351859593828207,0.5414046386518707,4.186942653051813,0.6048416637906396
WT2,0.576647367659506,0.206032219023229,0.377361438077382,5.230729438893914,0.6231604904715351
WT3,0.5664424136987878,0.09324708884446231,0.394802792562968,7.356167774085176,0.7899387833052374
WT4,0.5946557728793612,0.1668760035669593,0.28509260533973657,5.90661070959248,0.8400072529661258
WT5,0.5669252725706571,0.2803594081159466,0.3763733660294071,3.612552464999839,0.9232719966689343
WT6,0.631399183800457,0.2051834822525127,0.31521414126110214,5.253658556213448,1.7803557944104103
