Subject,Cross validation,alpha,forget,lambda,Wmf,Wmb
WT1,0.4983100810018477,0.10939880186570994,0.4795197383113118,0.07148022464233317,3.9464551417075833,1.026415388034785
WT2,0.5052275745886667,0.025972528036970255,0.07559940221415395,0.06851056658566357,8.58789394689839,0.2423374747660292
WT3,0.5149934126192507,0.02822985685806878,0.04589294295307966,0.04831418094767337,7.554704899324138,0.5620966941999724
WT4,0.5230950421417687,0.007913565110199694,0.06242731770236032,0.9267479824142547,11.034124394687392,0.5949662472004945
WT5,0.5262928433235686,0.036613925648970036,0.10382565439018276,0.011153176213352545,15.525389293108361,0.15843314777793946
WT6,0.5226397792709675,0.014514705222906543,0.0028988528523558044,0.9420363668560514,8.983838687370104,1.4805754298271587
