Subject,Cross validation,alpha,forget,lambda,Wmb
WT1,0.5375925118007991,0.1884871013185916,0.598908670560865,0.5000481989734468,4.975119802676015
WT2,0.5235237148935267,0.04040060028174475,0.08128856588972433,0.4997940225561479,5.99774558410754
WT3,0.5240672819973548,0.04226920662462019,0.11174512039545315,0.49995774288228223,6.063462946094971
WT4,0.5179043514665091,0.011621995948985941,0.018722527962770408,0.5000811710625442,7.191929306827893
WT5,0.5322701076191597,0.058820858334766246,0.21246339599971942,0.5001382285102332,6.8742483403197
WT6,0.5435325587992165,0.24141518290567476,0.8009419599152812,0.5005929855930106,4.596754238197516
