Subject,Cross validation,alpha,forget,lambda,Wmf,Wmb
WT1,0.5452910615564047,0.1624009547323887,0.6641854707032618,0.8177263435435875,2.517107259067797,3.301230204565963
WT2,0.5225657252203817,0.04340611543010997,0.09654172971421437,0.16428658445151534,2.102612448824165,4.648494887992056
WT3,0.5275820508464077,0.04565161935306283,0.21544323386384923,0.6583490234628507,4.825967663873638,2.9285357123757416
WT4,0.5223849920236269,0.01576192699641643,0.06778849173897705,0.785464706067428,6.87120289614766,1.6511480141377073
WT5,0.5449124065426819,0.07266589025952708,0.22140408003670908,0.7815382044503778,3.950751881613722,1.773594921007866
WT6,0.5616096228383981,0.3355082550204014,0.9012698861814001,0.7456019000180897,2.3618826140487617,1.750383866560311
