Subject,Cross validation,alpha,forget,Wmb,P
WT1,0.4953502090036791,0.06129795866297372,0.5523015691827692,3.334048115889284,-0.07054028959125128
WT2,0.5071527687928263,0.0006666160359125595,0.003869097222519602,19.577884858924754,-0.1601049865989223
WT3,0.5119271719063833,0.002297868451084595,0.011763793748073015,19.192833087494535,0.10174113351257788
WT4,0.517316286041903,0.0011760003457472745,0.006338053690219336,30.841898749377922,0.13802524400292
WT5,0.5359161877974853,0.0017635938748887803,0.006536973605698271,39.92622423015676,-0.024450910926644046
WT6,0.5352788325737875,0.013611311100212187,0.04870967510032398,6.007164369784649,0.7082353844382085
