Subject,Cross validation,alpha,forget,lambda,Wmb,P
WT1,0.5937060986846519,0.48642694281408727,0.5317142675386415,0.46305263735998103,4.2686605572158305,0.5938737826169243
WT2,0.5774562306170744,0.20850272429914296,0.37369349105882965,0.46281531674757215,5.2615139780697975,0.6169339284415885
WT3,0.5664227385402038,0.09470250181206685,0.4033636370942343,0.46326617229034994,7.423843964325038,0.7838649019335506
WT4,0.5950838217757469,0.16209925044585027,0.27831034687194167,0.46283203244470383,6.01992291991864,0.8380628833247271
WT5,0.5672997330682283,0.2779121119156388,0.3741376302766909,0.4631739983470726,3.6703608155872605,0.9185181786845645
WT6,0.632209681011577,0.2025168811822241,0.3030264602411866,0.46279846811167724,5.310408212239467,1.7850702394640245
