Subject,Cross validation,alpha,forget,lambda,Wmb
WT1,0.4981944659540656,0.06007040963067356,0.589111049016544,0.5001131596085356,3.377921298408165
WT2,0.49999165885380464,0.007632422451807619,0.04724076485239215,0.4999083283505711,3.3277747581893014
WT3,0.5078513998711878,0.00617035451354464,0.013729148297980331,0.49713773344572965,8.346461147199566
WT4,0.4912933097091061,0.00444392089187895,0.02115747423456593,0.4998342713995144,7.524949741641156
WT5,0.5016891376049658,0.005859548197880038,0.0510272160732842,0.5078685603978798,10.296597244253716
WT6,0.5218544580716782,0.02826105674705981,0.07461529432788194,0.4999655595083541,4.0370128793380555
